Filename,MFCC_Mean,MFCC_Var,Chromagram_Mean,Chromagram_Var,Spectral_Centroids_Mean,Spectral_Centroids_Var,Spectral_Rolloff_Mean,Spectral_Rolloff_Var
balad87.wav,0.49457967,0.032033626,0.311223,0.095464125,2107.6509123475907,791091.189786079,4567.374189097599,2898812.273674716
balad88.wav,0.51490134,0.027700093,0.28225055,0.08926228,1652.306711863497,548639.9215263266,3522.3743568978657,3434273.042687002
balad89.wav,0.51284313,0.03007764,0.23519312,0.091153435,1496.2024911913772,726827.9767369165,2991.923574914135,3418643.517610708
balad9.wav,0.5276401,0.03190711,0.3607678,0.07981449,2458.731741511718,207773.8546834332,5677.478689896433,1134960.338628755
balad90.wav,0.48493898,0.034045268,0.23319638,0.08987639,1912.3379215322584,1291139.9608686713,4500.567001714939,8716299.14020817
balad91.wav,0.49128076,0.029730303,0.32819512,0.08878431,2293.417482437667,323642.64690478006,4998.643267552367,1887665.6708464
balad92.wav,0.47557014,0.028808549,0.3134282,0.08928539,1814.4008978043585,257894.6197971219,3998.1758235777866,1894507.5571635969
balad93.wav,0.5310068,0.030121164,0.37433097,0.08502129,2436.466748346355,530438.3132400695,5310.259556253628,2405671.743806765
balad94.wav,0.5244048,0.030869313,0.3899824,0.09747836,2720.1669803574327,1099033.5132743013,6219.954055455447,3606709.0537462514
balad95.wav,0.50455666,0.030600473,0.322206,0.10221719,1745.1990817516912,1100447.747182083,3611.7605358794617,5910728.745676942
balad96.wav,0.48652557,0.031012822,0.20677933,0.083639964,1854.0277175193696,388890.53042289714,3655.3778964299536,2856283.6028943164
balad97.wav,0.5289245,0.028949376,0.3256892,0.091035575,2278.645278807249,775030.3124094869,5076.819301168247,3402215.0685841423
balad98.wav,0.49430335,0.034694366,0.32499325,0.086941384,2013.230932675697,939433.5619201752,4160.574841573142,4028082.2464393033
balad99.wav,0.49464563,0.02993104,0.33570763,0.09074124,2160.7959028718874,685607.0667685248,5022.111298646721,2949920.6434562565
dance1.wav,0.48998797,0.03304058,0.40065697,0.07854896,3031.744451125751,262402.1117756944,6690.902879503038,862981.1568806282
dance10.wav,0.5119854,0.026402516,0.32360855,0.08922711,3521.691436091697,615706.2956253637,7611.610130747413,1425983.8224495384
dance100.wav,0.55288136,0.03136354,0.39578587,0.08595283,2075.578893809382,273000.71307216573,4477.564591446159,1708390.8437788973
dance11.wav,0.4563712,0.028547617,0.41995525,0.091637656,2994.065948574629,657715.8122472079,6632.300854336684,2357550.121259005
dance12.wav,0.5200972,0.027968707,0.40451267,0.09573338,2883.383617879315,985023.4828943076,6382.65742405205,2998762.5210160166
dance13.wav,0.47641015,0.027455576,0.42620352,0.08324143,3012.6091040409174,678514.3980396854,6115.046798803244,2237066.4554112474
dance14.wav,0.5053313,0.035397135,0.40213513,0.092560306,2792.561991367841,786338.1202680151,6543.927096434791,2844085.7298569465
dance15.wav,0.5383609,0.02874259,0.38857174,0.080841154,2669.7559284685967,337249.8630774107,6079.804902918198,864033.7313447664
dance16.wav,0.53655404,0.027504666,0.3626447,0.08457378,3579.747886134858,745919.0410217792,7424.905102614648,1299432.4124724418
dance17.wav,0.48672506,0.027637681,0.43251282,0.09188498,2558.5089014268747,826480.1283925179,5735.215319937597,3511736.1279513026
dance18.wav,0.48226297,0.028148856,0.38148752,0.08521849,3156.054500426301,362560.8017486769,7041.774086022156,1324957.2576699036
dance19.wav,0.50191724,0.029209757,0.48737726,0.083254434,2851.9370134511723,304383.4392060493,6335.657144867108,1026631.8243388296
dance2.wav,0.5499333,0.030863537,0.4325545,0.09378674,2771.2601620528003,652088.7875949212,6142.886182996962,2084407.8128287904
dance20.wav,0.48960406,0.02685864,0.40992105,0.09490558,2771.9943862389514,1356340.8218622694,6024.37075475219,5442668.561158944
dance21.wav,0.5189922,0.02937688,0.3841332,0.08375532,3077.434771510964,284498.2706734494,6533.6354920000485,1165091.8698634512
dance22.wav,0.5389252,0.025882468,0.43365675,0.09155102,2230.984390599968,788409.5447118655,5061.469393987036,3535648.6423701323
dance23.wav,0.55379003,0.027045798,0.37235814,0.08411603,2923.855255371954,876678.684770059,6333.478368989454,2466807.9950644346
dance24.wav,0.5018631,0.027033126,0.39211145,0.09584875,2346.752309653881,625578.6595393915,5261.357134428254,2974948.485795728
dance25.wav,0.5358193,0.035498142,0.33180535,0.08482318,2509.5089804106456,1192019.595534816,5127.90232560952,6046923.251054773
dance26.wav,0.49704105,0.027793204,0.35883716,0.0931986,3006.2561107681527,545496.6111072715,6764.700761446643,2259867.422685216
dance27.wav,0.5580993,0.027323956,0.45403853,0.08553684,3203.097839324209,573574.0403314474,6937.841381155669,1543438.6326301696
dance28.wav,0.5030253,0.029837038,0.4249991,0.08078508,2431.124210317871,327789.50112238416,5329.983240076013,1776171.1091048531
dance29.wav,0.5401814,0.030004095,0.36222908,0.08549745,2906.8683696031453,235864.21679886727,6137.095914273648,1178244.9651723364
dance3.wav,0.5135008,0.02450438,0.38113102,0.088366084,2837.3161575518284,469059.1591152344,6499.535472972973,1998119.197384296
dance30.wav,0.49203524,0.031996172,0.3304159,0.092014834,2608.2861524300583,483163.89420202246,5522.942356418919,2183544.905041952
dance31.wav,0.5492658,0.026783288,0.39031875,0.08766607,3180.4457054453333,393179.6033990704,6968.212265539274,1093302.785710211
dance32.wav,0.5220588,0.028011566,0.41765004,0.083004765,2750.6517123629947,749823.2712753476,5951.189013974216,3437384.293741982
dance33.wav,0.5036433,0.02401174,0.43546644,0.084291175,2775.7662116414026,521650.0110445591,6060.480019773123,1766773.7483348898
dance34.wav,0.5103484,0.033089586,0.39089817,0.08432005,2777.1920530307684,188346.6949451832,5873.18115234375,960291.3422974824
dance35.wav,0.49742535,0.032072965,0.32433113,0.08953534,2986.5275604692574,342607.54784578725,6730.909299112326,1160443.3683729928
dance36.wav,0.49638888,0.027610542,0.46555248,0.08630296,2450.001794637066,552228.2053851055,5200.826884644688,2707232.8095765
dance37.wav,0.49770352,0.028684283,0.31910163,0.09564423,2567.3028520173048,1005319.7054213604,5348.042661117695,3613051.303155701
dance38.wav,0.4868178,0.027937002,0.4323829,0.08257153,2895.392145897533,372417.92326893343,6300.153570499952,1553868.271427146
dance39.wav,0.5748695,0.026145125,0.5091393,0.07195792,3276.960584930754,319845.72597657994,6707.609440003386,742091.4206000542
dance4.wav,0.4961329,0.031812232,0.36151752,0.09032936,3260.082284197852,694596.5951607884,7076.2072111430925,2143578.786344084
dance40.wav,0.54704773,0.0256788,0.38295522,0.08835927,2768.68542317107,704483.0234822234,6614.06833896696,1771796.511965777
dance41.wav,0.5407505,0.027091315,0.51681626,0.074990585,2953.1531577918613,285726.41226698173,6453.786090663863,867771.751410011
dance42.wav,0.5231373,0.027681187,0.39092618,0.08626479,2815.2892718713856,404171.4134078546,5773.355774506218,1073072.6310495
dance43.wav,0.5227754,0.023273533,0.45011932,0.08455243,2633.3504811872917,667442.0698151651,5454.398625416587,2199811.3336844137
dance44.wav,0.55351543,0.030908497,0.32531336,0.08964312,2774.6003951999205,842429.2632318762,5724.390184225265,3101776.6364680044
dance45.wav,0.574694,0.041034702,0.4114,0.07634109,3001.09412163411,334143.45499502314,6315.891679430322,1042952.4712742792
dance46.wav,0.5079933,0.033939265,0.32348096,0.09146315,3057.3882402470185,947409.4888540832,6497.15966403964,3118795.3527490087
dance47.wav,0.5175947,0.032108292,0.34068817,0.092450194,2718.961918169646,661133.737292028,5923.972511882014,1867132.5628830665
dance48.wav,0.51480085,0.03165082,0.3531188,0.09639842,3060.067881446143,1322292.0675576855,6388.436369999275,3488836.251494201
dance49.wav,0.52787405,0.027612682,0.42115143,0.08629075,3237.568955820043,474343.15122415184,6858.441861273704,1381330.284796766
dance5.wav,0.4985528,0.031886496,0.4664766,0.08048141,2807.589027111331,380860.706127091,6319.470120362084,1418411.3201669592
dance50.wav,0.50342554,0.03040101,0.34476784,0.088643335,3065.3215768221376,316501.9126233818,6189.067004609768,1105198.074657663
dance51.wav,0.5256932,0.03219635,0.4251498,0.07922946,3002.049820685265,533996.5323111743,6273.640422676913,1802776.2275884307
